genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1,Machine Gun Kelly,A Little More,4VHhltj6aUxZJWnImrXDhC,57,0.0804,0.653,237453,0.72,0.00109,G,0.147,-6.629,Major,0.0468,90.019,4-Apr,0.239
1,Kid Cudi,Trapped In My Mind,3fV84Z6UdxxHqfGIMmuSKg,54,0.5,0.819,214347,0.697,0.000339,C#,0.113,-8.148,Major,0.0339,119.005,4-Apr,0.787
1,Earl Sweatshirt,Playing Possum (feat. Cheryl Harris & Keorapetse Kgositsile),1qqEKh4wmdcQGG1c2z8sH0,55,0.45,0.311,94987,0.735,0.0138,C#,0.688,-6.164,Major,0.246,113.484,4-Jan,0.443
1,Scarlxrd,HEAD GXNE,0Ta0MoGnmPAjbOIhLhH9Ug,62,0.149,0.81,174545,0.833,0,G,0.152,-6.556,Minor,0.405,87.974,4-Apr,0.206
1,Smino,Innamission,7svLpna6i9NbCVBciVCUWG,57,0.836,0.754,135361,0.518,0,C,0.461,-8.521,Major,0.321,114.18,4-Apr,0.423
1,Hopsin,Nocturnal Rainbows,6iVp2prwrEaeh9f18iP2jt,56,0.168,0.608,306524,0.845,0,A#,0.0712,-5.007,Minor,0.119,81.997,4-Apr,0.549
1,Eminem,Say Goodbye Hollywood,288e3FhmVuCqPmNEfAH0h6,60,0.0576,0.745,272707,0.675,0,A,0.0917,-5.109,Minor,0.183,94.247,4-Apr,0.667
1,Roy Woods,Russian Cream,3bJS7RCjB6aNp5J219AmN3,59,0.0676,0.673,156563,0.514,0.000182,C#,0.0866,-10.078,Major,0.287,184.064,4-Apr,0.38
1,Daddy Yankee,Pose,5BB5zjzCzo9M3uOKzhiXZB,67,0.0407,0.806,217227,0.887,2.03E-05,F#,0.364,-3.51,Major,0.0909,117.031,4-Apr,0.443
1,Bow Wow,Outta My System,3LGeYNY9aWQuBJovOOowqm,58,0.0917,0.772,238267,0.59,0,F#,0.101,-6.957,Major,0.183,83.998,4-Apr,0.743
1,Rich Brian,Flight,2vyEkiHFDjWW19k0h3uvFv,55,0.111,0.77,177463,0.564,0.00306,C,0.103,-5.615,Major,0.0421,97.35,4-Apr,0.348
1,Madvillain,Meat Grinder,60PZUWKsJC52uXaPlPcEVf,54,0.359,0.571,131867,0.717,3.12E-06,F#,0.798,-8.333,Major,0.337,87.538,4-Apr,0.879
1,Jason Derulo,Get Ugly,1dl3vuXJS9anUXE7XnNP75,66,0.0462,0.75,200492,0.683,1.32E-06,A,0.297,-4.829,Minor,0.12,111.066,4-Apr,0.539
1,Nas,Ether,06UPCXzhIsXnceSXmKLMEY,55,0.0401,0.573,277707,0.831,0,G,0.0909,-5.586,Major,0.433,76.352,4-Apr,0.766
1,Kid Cudi,King Wizard,1aTRTY9s4LqQHPkkRHPCzx,53,0.0388,0.723,256240,0.61,0.0263,G#,0.108,-7.572,Major,0.0921,139.987,4-Apr,0.327
1,Ivan B,Back to You,3hX2VFUZi2W5slqkP7hAvw,57,0.673,0.706,248059,0.56,8.57E-06,D#,0.109,-10.261,Major,0.172,128.01,4-Apr,0.16
1,XXXTENTACION,Indecision,6KqI8Ua6fi5pNLlIwUfnGe,57,0.0159,0.581,124291,0.755,0.597,A,0.681,-7.515,Major,0.0276,84.972,4-Apr,0.332
1,Fabolous,Throw It In The Bag,6c0GmyBsE7mQtrVvxJaWc3,57,0.165,0.852,231573,0.559,0,B,0.0761,-7.441,Minor,0.0376,86.018,4-Apr,0.673
1,Tee Grizzley,Babies To Men,02hK5qzEzxTxX5rinS20lg,54,0.312,0.826,182491,0.657,2.22E-06,D,0.0373,-8.277,Major,0.274,99.985,4-Apr,0.334
1,Das EFX,They Want EFX,3HCzj965m8Fz2E8wZkir6q,57,0.115,0.755,221400,0.459,0,F,0.0851,-12.84,Minor,0.358,98.454,4-Apr,0.597
1,Hare Squead,100 Miles,10GA73p3kE1F3qKxe2D00k,54,0.635,0.775,169063,0.612,0,D,0.126,-7.753,Minor,0.0464,82.537,4-Apr,0.669
1,Moneybagg Yo,Dice Game,6hVyfeSlOKFBDhm6bZsQxe,54,0.265,0.823,129149,0.615,0,B,0.608,-6.833,Major,0.313,142.96,4-Apr,0.454
1,Trey Songz,Shootin Shots (feat. Ty Dolla $ign & Tory Lanez),1qNsCnV0aPE0lEivZP8efc,63,0.287,0.536,190084,0.755,0,C#,0.0634,-3.554,Major,0.261,84.118,4-Apr,0.737
1,Freeway,What We Do,5kDkWHFx0AEvJ1Pfm2i0ac,54,0.00821,0.568,229107,0.893,0,C,0.308,-4.796,Major,0.33,188.84,4-Apr,0.326
1,XXXTENTACION,Maxipads for Everyone,39wqiOEjFN3HaXs19jf2Xb,56,0.151,0.753,109187,0.308,0.00864,C#,0.115,-7.969,Major,0.0909,121.105,4-Apr,0.0602
1,Gorillaz,Kansas,7FJ7lHtpbWvPKe3zCoeAWC,61,0.0725,0.641,248493,0.792,0.513,G,0.175,-6.453,Major,0.0272,87.069,4-Apr,0.67
1,People Under The Stairs,San Francisco Knights,0msneWUDfYKAGrifwEDhtl,57,0.0364,0.749,271080,0.839,0,C#,0.134,-9.173,Minor,0.231,87.587,4-Apr,0.64
1,Trey Songz,Drugz,621TcU9vr61MbDFqnZ8X0x,60,0.194,0.53,310192,0.605,0,A,0.145,-6.227,Minor,0.0512,143.047,4-Apr,0.419
1,A Tribe Called Quest,Excursions,4tEaytMs86hIaOSsiGoLcP,56,0.386,0.885,234627,0.608,0.0118,B,0.319,-10.809,Major,0.169,95.748,4-Apr,0.707
1,JAY Z,Dirt Off Your Shoulder / Lying From You,7dvd3b2oz7AFgXrPBIIYxR,59,0.0104,0.557,244693,0.905,0,B,0.111,-4.506,Major,0.267,160.013,4-Apr,0.799
1,Tyga,Do My Dance,7Hk12JkCFwLO4s1jRGBS6s,57,0.0036,0.844,214293,0.614,0.00349,A,0.148,-5.196,Major,0.0728,153.959,4-Apr,0.754
